instant,dteday,season,temp,hum,windspeed
287,2011-10-14,4,0.550833,0.71625,0.223883
288,2011-10-15,4,0.506667,0.483333,0.258083
289,2011-10-16,4,0.511667,0.486667,0.281717
290,2011-10-17,4,0.534167,0.579583,0.175379
291,2011-10-18,4,0.5325,0.701667,0.110087
292,2011-10-19,4,0.541739,0.895217,0.243339
293,2011-10-20,4,0.475833,0.63625,0.422275
294,2011-10-21,4,0.4275,0.574167,0.221396
295,2011-10-22,4,0.4225,0.629167,0.0926667
296,2011-10-23,4,0.421667,0.74125,0.0995125
297,2011-10-24,4,0.463333,0.772083,0.118792
298,2011-10-25,4,0.471667,0.622917,0.166658
299,2011-10-26,4,0.484167,0.720417,0.148642
300,2011-10-27,4,0.47,0.812917,0.197763
301,2011-10-28,4,0.330833,0.585833,0.229479
302,2011-10-29,4,0.254167,0.8825,0.351371
303,2011-10-30,4,0.319167,0.62375,0.176617
304,2011-10-31,4,0.34,0.703333,0.10635
305,2011-11-01,4,0.400833,0.68375,0.135571
306,2011-11-02,4,0.3775,0.71875,0.0820917
307,2011-11-03,4,0.408333,0.702083,0.136817
308,2011-11-04,4,0.403333,0.6225,0.271779
309,2011-11-05,4,0.326667,0.519167,0.189062
310,2011-11-06,4,0.348333,0.734583,0.0920542
311,2011-11-07,4,0.395,0.75875,0.057225
312,2011-11-08,4,0.408333,0.721667,0.0690375
313,2011-11-09,4,0.4,0.758333,0.0621958
314,2011-11-10,4,0.38,0.813333,0.189067
315,2011-11-11,4,0.324167,0.44625,0.314675
316,2011-11-12,4,0.356667,0.552917,0.212062
317,2011-11-13,4,0.440833,0.458333,0.281721
318,2011-11-14,4,0.53,0.587083,0.306596
319,2011-11-15,4,0.53,0.68875,0.199633
320,2011-11-16,4,0.456667,0.93,0.136829
321,2011-11-17,4,0.341667,0.575833,0.305362
322,2011-11-18,4,0.274167,0.41,0.168533
323,2011-11-19,4,0.329167,0.502083,0.224496
324,2011-11-20,4,0.463333,0.684583,0.18595
325,2011-11-21,4,0.4475,0.91,0.138054
326,2011-11-22,4,0.416667,0.9625,0.118792
327,2011-11-23,4,0.440833,0.757917,0.335825
328,2011-11-24,4,0.373333,0.549167,0.167304
329,2011-11-25,4,0.375,0.64375,0.0988958
330,2011-11-26,4,0.375833,0.681667,0.0684208
331,2011-11-27,4,0.459167,0.698333,0.208954
332,2011-11-28,4,0.503478,0.743043,0.142122
333,2011-11-29,4,0.458333,0.830833,0.258092
334,2011-11-30,4,0.325,0.613333,0.271158
335,2011-12-01,4,0.3125,0.524583,0.220158
336,2011-12-02,4,0.314167,0.625833,0.100754
337,2011-12-03,4,0.299167,0.612917,0.0957833
338,2011-12-04,4,0.330833,0.775833,0.0839583
339,2011-12-05,4,0.385833,0.827083,0.0622083
340,2011-12-06,4,0.4625,0.949583,0.232583
341,2011-12-07,4,0.41,0.970417,0.266175
342,2011-12-08,4,0.265833,0.58,0.240058
343,2011-12-09,4,0.290833,0.695833,0.0827167
344,2011-12-10,4,0.275,0.5075,0.233221
345,2011-12-11,4,0.220833,0.49,0.0665417
346,2011-12-12,4,0.238333,0.670833,0.06345
347,2011-12-13,4,0.2825,0.59,0.14055
348,2011-12-14,4,0.3175,0.66375,0.0609583
349,2011-12-15,4,0.4225,0.634167,0.268042
350,2011-12-16,4,0.375,0.500417,0.260575
351,2011-12-17,4,0.258333,0.560833,0.243167
352,2011-12-18,4,0.238333,0.58625,0.169779
353,2011-12-19,4,0.276667,0.6375,0.172896
354,2011-12-20,4,0.385833,0.595417,0.0615708
355,2011-12-21,1,0.428333,0.858333,0.2214
356,2011-12-22,1,0.423333,0.7575,0.047275
357,2011-12-23,1,0.373333,0.68625,0.274246
358,2011-12-24,1,0.3025,0.5425,0.190304
359,2011-12-25,1,0.274783,0.681304,0.155091
360,2011-12-26,1,0.321739,0.506957,0.239465
361,2011-12-27,1,0.325,0.7625,0.18845
362,2011-12-28,1,0.29913,0.503913,0.293961
363,2011-12-29,1,0.248333,0.574167,0.119412
364,2011-12-30,1,0.311667,0.636667,0.134337
365,2011-12-31,1,0.41,0.615833,0.220154
366,2012-01-01,1,0.37,0.6925,0.192167
367,2012-01-02,1,0.273043,0.381304,0.329665
368,2012-01-03,1,0.15,0.44125,0.365671
369,2012-01-04,1,0.1075,0.414583,0.1847
370,2012-01-05,1,0.265833,0.524167,0.129987
371,2012-01-06,1,0.334167,0.542083,0.167908
372,2012-01-07,1,0.393333,0.531667,0.174758
373,2012-01-08,1,0.3375,0.465,0.191542
374,2012-01-09,1,0.224167,0.701667,0.0989
375,2012-01-10,1,0.308696,0.646522,0.187552
376,2012-01-11,1,0.274167,0.8475,0.131221
377,2012-01-12,1,0.3825,0.802917,0.180967
378,2012-01-13,1,0.274167,0.5075,0.378108
379,2012-01-14,1,0.18,0.4575,0.187183
380,2012-01-15,1,0.166667,0.419167,0.251258
381,2012-01-16,1,0.19,0.5225,0.231358
382,2012-01-17,1,0.373043,0.716087,0.34913
383,2012-01-18,1,0.303333,0.443333,0.415429
384,2012-01-19,1,0.19,0.4975,0.220158
385,2012-01-20,1,0.2175,0.45,0.20275
386,2012-01-21,1,0.173333,0.83125,0.222642
387,2012-01-22,1,0.1625,0.79625,0.199638
388,2012-01-23,1,0.218333,0.91125,0.110708
389,2012-01-24,1,0.3425,0.835833,0.123767
390,2012-01-25,1,0.294167,0.64375,0.161071
391,2012-01-26,1,0.341667,0.769583,0.0733958
392,2012-01-27,1,0.425,0.74125,0.342667
393,2012-01-28,1,0.315833,0.543333,0.210829
394,2012-01-29,1,0.2825,0.31125,0.24005
395,2012-01-30,1,0.269167,0.400833,0.215792
396,2012-01-31,1,0.39,0.416667,0.261817
397,2012-02-01,1,0.469167,0.507917,0.189067
398,2012-02-02,1,0.399167,0.672917,0.187187
399,2012-02-03,1,0.313333,0.526667,0.178496
400,2012-02-04,1,0.264167,0.779583,0.121896
401,2012-02-05,1,0.265833,0.687917,0.175996
402,2012-02-06,1,0.282609,0.622174,0.1538
403,2012-02-07,1,0.354167,0.49625,0.147379
404,2012-02-08,1,0.256667,0.722917,0.133721
405,2012-02-09,1,0.265,0.562083,0.194037
406,2012-02-10,1,0.280833,0.54,0.116929
407,2012-02-11,1,0.224167,0.73125,0.289796
408,2012-02-12,1,0.1275,0.464583,0.409212
409,2012-02-13,1,0.2225,0.41125,0.167283
410,2012-02-14,1,0.319167,0.50875,0.141179
411,2012-02-15,1,0.348333,0.53125,0.1816
412,2012-02-16,1,0.316667,0.752917,0.091425
413,2012-02-17,1,0.343333,0.634583,0.205846
414,2012-02-18,1,0.346667,0.534583,0.190929
415,2012-02-19,1,0.28,0.515833,0.253112
416,2012-02-20,1,0.28,0.507826,0.229083
417,2012-02-21,1,0.287826,0.594348,0.205717
418,2012-02-22,1,0.395833,0.567917,0.234471
419,2012-02-23,1,0.454167,0.554583,0.190913
420,2012-02-24,1,0.4075,0.7375,0.237567
421,2012-02-25,1,0.290833,0.395833,0.421642
422,2012-02-26,1,0.279167,0.41,0.205229
423,2012-02-27,1,0.366667,0.490833,0.268033
424,2012-02-28,1,0.359167,0.395833,0.193417
425,2012-02-29,1,0.344348,0.804783,0.179117
426,2012-03-01,1,0.485833,0.615417,0.226987
427,2012-03-02,1,0.353333,0.657083,0.144904
428,2012-03-03,1,0.414167,0.62125,0.161079
429,2012-03-04,1,0.325833,0.403333,0.334571
430,2012-03-05,1,0.243333,0.50625,0.228858
431,2012-03-06,1,0.258333,0.456667,0.200875
432,2012-03-07,1,0.404167,0.513333,0.345779
433,2012-03-08,1,0.5275,0.5675,0.441563
434,2012-03-09,1,0.410833,0.407083,0.4148
435,2012-03-10,1,0.2875,0.350417,0.22575
436,2012-03-11,1,0.361739,0.476957,0.222587
437,2012-03-12,1,0.466667,0.489167,0.207713
438,2012-03-13,1,0.565,0.6175,0.23695
439,2012-03-14,1,0.5725,0.507083,0.115062
440,2012-03-15,1,0.5575,0.579583,0.149883
441,2012-03-16,1,0.435833,0.842083,0.113192
442,2012-03-17,1,0.514167,0.755833,0.110704
443,2012-03-18,1,0.4725,0.81,0.126883
444,2012-03-19,1,0.545,0.72875,0.162317
445,2012-03-20,1,0.560833,0.807917,0.121271
446,2012-03-21,2,0.531667,0.82125,0.0895583
447,2012-03-22,2,0.554167,0.83125,0.117562
448,2012-03-23,2,0.601667,0.694167,0.1163
449,2012-03-24,2,0.5025,0.885417,0.192783
450,2012-03-25,2,0.4375,0.880833,0.220775
451,2012-03-26,2,0.445833,0.477917,0.386821
452,2012-03-27,2,0.323333,0.29,0.187192
453,2012-03-28,2,0.484167,0.48125,0.291671
454,2012-03-29,2,0.494167,0.439167,0.31965
455,2012-03-30,2,0.37,0.580833,0.138067
456,2012-03-31,2,0.424167,0.738333,0.250617
457,2012-04-01,2,0.425833,0.67625,0.172267
458,2012-04-02,2,0.433913,0.504348,0.312139
459,2012-04-03,2,0.466667,0.396667,0.100133
460,2012-04-04,2,0.541667,0.469583,0.180975
461,2012-04-05,2,0.435,0.374167,0.219529
462,2012-04-06,2,0.403333,0.377083,0.300388
463,2012-04-07,2,0.4375,0.254167,0.274871
464,2012-04-08,2,0.5,0.275833,0.232596
465,2012-04-09,2,0.489167,0.3175,0.358196
466,2012-04-10,2,0.446667,0.435,0.249375
467,2012-04-11,2,0.348696,0.469565,0.295274
468,2012-04-12,2,0.3975,0.46625,0.290429
469,2012-04-13,2,0.4425,0.408333,0.155471
470,2012-04-14,2,0.495,0.502917,0.190917
471,2012-04-15,2,0.606667,0.507917,0.225129
472,2012-04-16,2,0.664167,0.561667,0.284829
473,2012-04-17,2,0.608333,0.390417,0.273629
474,2012-04-18,2,0.463333,0.569167,0.167912
475,2012-04-19,2,0.498333,0.6125,0.0659292
476,2012-04-20,2,0.526667,0.694583,0.149871
477,2012-04-21,2,0.57,0.682917,0.283587
478,2012-04-22,2,0.396667,0.835417,0.344546
479,2012-04-23,2,0.321667,0.766667,0.303496
480,2012-04-24,2,0.413333,0.454167,0.249383
481,2012-04-25,2,0.476667,0.427917,0.118792
482,2012-04-26,2,0.498333,0.756667,0.176625
483,2012-04-27,2,0.4575,0.400833,0.347633
484,2012-04-28,2,0.376667,0.489583,0.129975
485,2012-04-29,2,0.458333,0.587083,0.116908
486,2012-04-30,2,0.464167,0.57,0.171638
487,2012-05-01,2,0.613333,0.659583,0.156096
488,2012-05-02,2,0.564167,0.797083,0.138058
489,2012-05-03,2,0.56,0.768333,0.133696
490,2012-05-04,2,0.6275,0.735417,0.162938
491,2012-05-05,2,0.621667,0.756667,0.152992
492,2012-05-06,2,0.5625,0.74,0.149879
493,2012-05-07,2,0.5375,0.664167,0.230721
494,2012-05-08,2,0.581667,0.685833,0.296029
495,2012-05-09,2,0.575,0.744167,0.216412
496,2012-05-10,2,0.505833,0.552083,0.314063
497,2012-05-11,2,0.533333,0.360417,0.236937
498,2012-05-12,2,0.564167,0.480417,0.123133
499,2012-05-13,2,0.6125,0.57625,0.225117
500,2012-05-14,2,0.573333,0.789583,0.212692
501,2012-05-15,2,0.611667,0.794583,0.147392
502,2012-05-16,2,0.636667,0.697917,0.122512
503,2012-05-17,2,0.593333,0.52,0.229475
504,2012-05-18,2,0.564167,0.523333,0.136817
505,2012-05-19,2,0.6,0.45625,0.083975
506,2012-05-20,2,0.620833,0.530417,0.254367
507,2012-05-21,2,0.598333,0.81125,0.233204
508,2012-05-22,2,0.615,0.765833,0.118167
509,2012-05-23,2,0.621667,0.774583,0.102
510,2012-05-24,2,0.655,0.716667,0.172896
511,2012-05-25,2,0.68,0.747083,0.14055
512,2012-05-26,2,0.6925,0.7325,0.198992
513,2012-05-27,2,0.69,0.697083,0.215171
514,2012-05-28,2,0.7125,0.67625,0.196521
515,2012-05-29,2,0.7225,0.684583,0.2954
516,2012-05-30,2,0.656667,0.67,0.134329
517,2012-05-31,2,0.68,0.492917,0.195279
518,2012-06-01,2,0.654167,0.755417,0.237563
519,2012-06-02,2,0.583333,0.549167,0.186562
520,2012-06-03,2,0.6025,0.493333,0.184087
521,2012-06-04,2,0.5975,0.487083,0.284833
522,2012-06-05,2,0.540833,0.613333,0.209575
523,2012-06-06,2,0.554167,0.61125,0.077125
524,2012-06-07,2,0.6025,0.567083,0.15735
525,2012-06-08,2,0.649167,0.467917,0.175383
526,2012-06-09,2,0.710833,0.437083,0.144287
527,2012-06-10,2,0.726667,0.538333,0.133721
528,2012-06-11,2,0.720833,0.587917,0.207713
529,2012-06-12,2,0.653333,0.833333,0.214546
530,2012-06-13,2,0.655833,0.582083,0.343279
531,2012-06-14,2,0.648333,0.569583,0.253733
532,2012-06-15,2,0.639167,0.589583,0.176617
533,2012-06-16,2,0.631667,0.504167,0.166667
534,2012-06-17,2,0.5925,0.59875,0.144904
535,2012-06-18,2,0.568333,0.777917,0.174746
536,2012-06-19,2,0.688333,0.69,0.148017
537,2012-06-20,2,0.7825,0.592083,0.113812
538,2012-06-21,3,0.805833,0.567917,0.118787
539,2012-06-22,3,0.7775,0.57375,0.182842
540,2012-06-23,3,0.731667,0.534583,0.179721
